狮山板块总价低，格林花园电梯复式楼，装修好！,"格林花园 ,狮山",4室2厅 | 183平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,7人关注 / 7天以前发布,"V,R,房,源",550万,单价30055元/平米,https://su.lianjia.com/ershoufang/107103743337.html
九龙仓碧堤半岛 5室2厅 南,"九龙仓碧堤半岛 ,尹山湖",5室2厅 | 228.97平米 | 南 | 精装 | 2层  | 板楼 | 独栋别墅 ,11人关注 / 6天以前发布,"V,R,房,源",880万,单价38433元/平米,https://su.lianjia.com/ershoufang/107103749094.html
沁苑 3室3厅 南,"沁苑 ,湖西CBD",3室3厅 | 146.4平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 4天以前发布,"近,地,铁",735万,单价50205元/平米,https://su.lianjia.com/ershoufang/107103765109.html
此房有车位，御湖看房来找谁，就来链家找小李!,"中海御湖熙岸西区 ,双湖",4室2厅 | 169.27平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,88人关注 / 一年前发布,"V,R,房,源",949万,单价56065元/平米,https://su.lianjia.com/ershoufang/107100745201.html
莲花新村八区 3室1厅 南,"莲花新村八区 ,斜塘",3室1厅 | 99.58平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 3天以前发布,"V,R,看,装,修",274万,单价27516元/平米,https://su.lianjia.com/ershoufang/107103771976.html
空关从未住过人，看房我有钥匙，满两年，中上楼层,"招商学府1872 ,狮山",3室2厅 | 124.48平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,13人关注 / 6天以前发布,"V,R,房,源",578万,单价46434元/平米,https://su.lianjia.com/ershoufang/107103749805.html
小区中间的楼幢 采光全天候 业主诚心售房,"白塘壹号 ,白塘",3室1厅 | 124.4平米 | 南 | 精装 | 32层  | 板楼,2人关注 / 3天以前发布,"V,R,房,源",560万,单价45017元/平米,https://su.lianjia.com/ershoufang/107103770166.html
2号线地铁 高品质公务员小区  精装大三房 诚心出售,"元和之春 ,元和",3室2厅 | 137.64平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 5天以前发布,"V,R,房,源",271万,单价19690元/平米,https://su.lianjia.com/ershoufang/107103764537.html
首开大三房 楼层好 房东诚心出售 看房有钥匙,"首开班芙春天花园 ,活力岛",3室2厅 | 99.17平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,7人关注 / 5天以前发布,"近,地,铁",225万,单价22689元/平米,https://su.lianjia.com/ershoufang/107103761969.html
品牌装修，中间楼层，户型方正，诚心出售，有钥匙,"浒墅人家三区 ,浒关",3室2厅 | 115.43平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,4人关注 / 5天以前发布,"V,R,房,源",204万,单价17674元/平米,https://su.lianjia.com/ershoufang/107103750531.html
